Event,Fight
UFC Fight Night: Moicano vs. Saint Denis,Renato Moicano vs. Benoit Saint Denis
UFC Fight Night: Moicano vs. Saint Denis,Nassourdine Imavov vs. Brendan Allen
UFC Fight Night: Moicano vs. Saint Denis,William Gomis vs. Joanderson Brito
UFC Fight Night: Moicano vs. Saint Denis,Bryan Battle vs. Kevin Jousset
UFC Fight Night: Moicano vs. Saint Denis,Morgan Charriere vs. Gabriel Miranda
UFC Fight Night: Moicano vs. Saint Denis,Fares Ziam vs. Matt Frevola
UFC Fight Night: Moicano vs. Saint Denis,Ion Cutelaba vs. Ivan Erslan
UFC Fight Night: Moicano vs. Saint Denis,Oumar Sy vs. Da-Un Jung
UFC Fight Night: Moicano vs. Saint Denis,Ludovit Klein vs. Roosevelt Roberts
UFC Fight Night: Moicano vs. Saint Denis,Taylor Lapilus vs. Vince Morales
UFC Fight Night: Moicano vs. Saint Denis,Ailin Perez vs. Dariya Zheleznykova
UFC Fight Night: Moicano vs. Saint Denis,Daniel Barez vs. Victor Altamirano
UFC Fight Night: Moicano vs. Saint Denis,Jacqueline Cavalcanti vs. Nora Cornolle
UFC Fight Night: Moicano vs. Saint Denis,Chris Duncan vs. Bolaji Oki
UFC 306: Riyadh Season Noche UFC,Merab Dvalishvili vs. Sean O'Malley
UFC 306: Riyadh Season Noche UFC,Valentina Shevchenko vs. Alexa Grasso
UFC 306: Riyadh Season Noche UFC,Diego Lopes vs. Brian Ortega
UFC 306: Riyadh Season Noche UFC,Esteban Ribovics vs. Daniel Zellhuber
UFC 306: Riyadh Season Noche UFC,Luis Rodriguez vs. Ode Osbourne
UFC 306: Riyadh Season Noche UFC,Norma Dumont vs. Irene Aldana
UFC 306: Riyadh Season Noche UFC,Ignacio Bahamondes vs. Manuel Torres
UFC 306: Riyadh Season Noche UFC,Ketlen Souza vs. Yazmin Jauregui
UFC 306: Riyadh Season Noche UFC,Joshua Van vs. Edgar Chairez
UFC 306: Riyadh Season Noche UFC,Raul Rosas Jr. vs. Aoriqileng
UFC Fight Night: Burns vs. Brady,Sean Brady vs. Gilbert Burns
UFC Fight Night: Burns vs. Brady,Natalia Silva vs. Jessica Andrade
UFC Fight Night: Burns vs. Brady,Steve Garcia vs. Kyle Nelson
UFC Fight Night: Burns vs. Brady,Cody Durden vs. Matt Schnell
UFC Fight Night: Burns vs. Brady,Yanal Ashmoz vs. Trevor Peek
UFC Fight Night: Burns vs. Brady,Chris Padilla vs. Rong Zhu
UFC Fight Night: Burns vs. Brady,Isaac Dulgarian vs. Brendon Marotte
UFC Fight Night: Burns vs. Brady,Andre Lima vs. Felipe dos Santos
UFC Fight Night: Burns vs. Brady,Gabriel Santos vs. Yi Zha
UFC Fight Night: Burns vs. Brady,Jaqueline Amorim vs. Vanessa Demopoulos
UFC Fight Night: Burns vs. Brady,Andre Petroski vs. Dylan Budka
UFC Fight Night: Burns vs. Brady,Nathan Fletcher vs. Zygimantas Ramaska
UFC Fight Night: Cannonier vs. Borralho,Caio Borralho vs. Jared Cannonier
UFC Fight Night: Cannonier vs. Borralho,Tabatha Ricci vs. Angela Hill
UFC Fight Night: Cannonier vs. Borralho,Ryan Loder vs. Robert Valentin Frey
UFC Fight Night: Cannonier vs. Borralho,Mairon Santos vs. Kaan Ofli
UFC Fight Night: Cannonier vs. Borralho,Michael Morales vs. Neil Magny
UFC Fight Night: Cannonier vs. Borralho,Gerald Meerschaert vs. Edmen Shahbazyan
UFC Fight Night: Cannonier vs. Borralho,Francis Marshall vs. Dennis Buzukja
UFC Fight Night: Cannonier vs. Borralho,Zach Reese vs. Jose Medina
UFC Fight Night: Cannonier vs. Borralho,Viacheslav Borshchev vs. James Llontop
UFC Fight Night: Cannonier vs. Borralho,Jacqueline Cavalcanti vs. Josiane Nunes
UFC Fight Night: Cannonier vs. Borralho,Wang Cong vs. Victoria Leonardo
UFC 305: Du Plessis vs. Adesanya,Dricus Du Plessis vs. Israel Adesanya
UFC 305: Du Plessis vs. Adesanya,Kai Kara-France vs. Steven Erceg
UFC 305: Du Plessis vs. Adesanya,Dan Hooker vs. Mateusz Gamrot
